# --- Макс открывает ноутбук|Max opens his notebook

	open.notebook@122@e-note-1@Итак, чем интересным я займусь?|Also, was mache ich jetzt?
		open_eshop^																							<i>интернет-магазин</i>|<i>Online Shop</i>
		poss.cam>4&open_site^																				<i>свой сайт</i>|<i>Meine Webseite</i>
		poss.cam=4&make.web.1^																				<i>заняться своим сайтом</i>|<i>Meine Webseite erstellen</i>
		open_online^																						<i>онлайн-курсы</i>|<i>Online Kurse</i>
		poss.blog=9&hour>19&hour<22&dcd.melissa=0&day?5&day?3&spy.alisa.keylogger^							<i>проследить за Алисой</i>|<i>Alice beobachten</i>
		poss.blog=10&hour>19&hour<22&dcd.melissa=0&day?5&day?3&spy.alisa.wtfblog^							<i>изучить сайт Алисы</i>|<i>Alice's Seite besuchen</i>
		poss.blog>10&hour>19&hour<22&dcd.melissa=0&day?5&day?3&spy.alisa.blog^								<i>сайт Алисы</i>|<i>Alice's Webseite</i>
		poss.ganja>5&money>99&item.ganja=-1&open.notebook!add_money_-100!set_item.ganja_-3^					<i>купить травку $100</i>|<i>Gras kaufen</i>
		poss.ganja>5&altway=2&money>499&item.bigganja=-1&open.notebook!add_money_-500!set_item.bigganja_-3!set_altway_3^	<i>купить большой пакет травки за $500</i>|<i>Ein grosses Packet Gras kaufen für 500$</i>
		altway=4&05.mkd.1^																					<i>позвонить Катиной маме</i>|<i>Kate's Mum anrufen</i>
		altway=6&dcd.katemom=0&05.mokd.1^																	<i>позвонить Катиной маме</i>|<i>Kate's Mum anrufen</i>
		poss.wallet=53&ericplace=0&05.ahack.0^																<i>связаться с хакером</i>|<i>Den Hacker kontaktieren</i>
		poss.wallet=54&dcd.ericphone=0&ericplace=0&05.ahack2.0^												<i>связаться с хакером</i>|<i>Victor's Feinde kontaktieren</i>
		poss.wallet=55&dcd.ericphone=0&ericplace=0&05.badwolf.0^											<i>связаться с врагами Виктора</i>|<i>Victor's Feinde kontaktieren</i>
		poss.wallet=57&dcd.ericphone=0&ericplace=1&05.badwolf.0^											<i>связаться с врагами Виктора</i>|<i>Victor's Feinde kontaktieren</i>
